Defi platform,chain browser,adversarial contracts,interval time,reason,loss
DFS,bscscan,0x87bfd80c2a05ee98cfe188fd2a0e4d70187db137,00:01:48,Insufficient validation + flashloan,1450
MIMSpell,etherscan,0x26Fe84754a1967d67b7bEFAa01b10d7B35BBaF0A,00:01:48,Arbitrary External Call Vulnerability,17000
DAppSocial,etherscan,0xE897C0f9443785F8D4F0FA6e92a81066b3fbFEe2,00:01:48,Business Logic Flaw,16000
SADDLE FINANCE,etherscan,0x797418A5D9dAd50Ecc0851E0Cc23C61EF4C1B9bf,00:01:50,Swap Metapool Attack,10000000
SADDLE FINANCE,etherscan,0x7336F819775B1D31Ea472681D70cE7A903482191,00:01:50,,
ULME,bscscan,0x8523c7661850d0da4d86587ce9674da23369ff26,00:01:51,Flashloan,250000
Balancer,etherscan,0xFF6f7E421CAc8b488634C7A8275093A62075A1c6,00:01:55,Reentrancy,2200000
SAFEDOLLAR,polygonscan,0xc44e71debf89d414a262edadc44797eba093c6b0,00:01:58,Deflationary token incompatible,200000
OlympusDAO,etherscan,0xa29E4fe451CCFa5e7DEF35188919ad7077A4DE8f,00:02:00,No input validation,292000
Spartan Protocol,bscscan,0x288315639c1145f523af6d7a5e4ccf8238cd6a51,00:02:00,Logic Flaw,30500000
Axioma,bscscan,0xD088b5E169301d280129deb981d598A2Fd277b5c,00:02:03,Business Logic Flaw,11550
UEarnPool,bscscan,0x14cab4bb0d3bff14cc104d53c812bb1cc882ab3d,00:02:06,FlashLoan Attack,24000
Allbridge,bscscan,0x7d83fe202c51982a72e0a1146ec37b4643c725d7,00:02:06,FlashLoan price manipulation,550000
XSTABLE Protocol,etherscan,0x4FBB8840D37a21E38c8E438db27AAE7bb91aF052,00:02:18,Incorrect Logic Check,48600
OLIFE,bscscan,0xa9de288d61a7ed99cdd1109b051ef402d85a6b91,00:02:18,Reflection token,19200
Spankchain ,etherscan,0xc5918a927c4fb83fe99e30d6f66707f4b396900e,00:02:21,reentrancy,38064
EHIVE,etherscan,0x98C2e1E85F8bF737D9c1450dd26D4A4bf880B892,00:02:24,Business Logic Flaw,15000
APC,bscscan,0x02a1d194914bfda8d5d46333cf6dda485923c4c4,0:02:36,FlashLoan & price manipulation,6000
NeverFall,bscscan,0x35353ec557b9e23137ae27e9d4cc829d4dace16b,00:02:42,Price Manipulation,74000
JAY,etherscan,0xed42Cb11b9D03c807ED1ba9c2eD1d3BA5Bf37340,00:02:48,Insufficient validation + Reentrancy,26250
Sushiswap,etherscan,0xEacfF4dAb085588AE3637d261a492fAD2C2d193a,00:02:49,,3300000
Paraluni,bscscan,0x4770b5cb9d51EcB7AD5B14f0d4F2cEe8e5563645,00:03:21,Flashloan & Reentrancy,1700000
BrahTOPG,etherscan,0x60032a41726241499B0c626c836C9099cb895c05,00:03:36,Arbitrary External Call Vulnerability,89000
CompounderFinance,etherscan,0x2D7973177d594237a9B347cd41082Af4CbB40f2b,00:03:36,Manipulation of funds through fluctuations in the amount of exchangeable assets,27174
EAC,bscscan,0x20Dcf125f0563417d257B98A116c3fea4F0B2DB2,00:03:45,Price Manipulation,15950
WARP FINANCE,etherscan,0xdF8BEE861227FFC5EEA819C332A1C170Ae3dbACb,00:03:47,flashloan,8000000
ZoomproFinance,bscscan,0xb8d700f30d93fab242429245e892600dcc03935d,00:03:48,Flashloans & Price Manipulation,61160
Phoenix,polygonscan,0xb31ee510a057ac9a38a18bdc94b1765387728077,00:03:54,Access Control & Arbitrary External Call,100000
SellToken01,bscscan,0xf635fea87f0a8a444ede1dbb698d875dbb417829,00:04:00,Access control,95000
Uwerx,etherscan,0xDA2CCfC4557BA55eAda3cBEbd0AEFfCf97Fc14CA,00:04:00,Fault logic,316800
LPC,bscscan,0xcfb7909b7eb27b71fdc482a2883049351a1749d7,00:04:06,"Business Logic Flaw : Incorrect recipient balance check, did not check sender!=recipient in transfer",45175
Sheep,bscscan,0x2021932C4Dde18727A827c15F4Bc0d6e7DE636aa,0:04:09,No input validation,3000
BH,bscscan,0x216CcfD4fB3f2267677598f96Ef1Ff151576480C,00:04:09,Price manipulation,1270000
Bitpaidio,bscscan,0x7b9265c6aa4b026b7220eee2e8697bf5ffa6bb9a,00:04:24,Business Logic Flaw,30000
ELEVEN FINANCE,bscscan,0x01Eae4E246dFaE08a4Ef5c3D8F31d0668686eAb3,0:04:51,Doesn’t burn shares,994904
LuckyTiger NFT,etherscan,0x880DF6cC30bb7934D065498Ed9163a6e3b5Aa67D,0:04:52,Predicting Random Numbers,
FloorDAO,etherscan,0x6cE5a85CFF4c70591DA82De5eb91c3Fa38B40595,00:05:00,Rebasing logic issue,72000
VINU,etherscan,0xf73B8EA8838CbA9148fB182e267a000f7CFbA8dd,00:05:12,Price Manipulation,6000
Shido,bscscan,0xcdb3d057ca0cfdf630baf3f90e9045ddeb9ea4cc,00:05:12,Business Loigc,548000
CS Token,bscscan,0x90fa57d23b85cdd52c46b85636f44c47926ee2e3,00:05:15,Outdated Global Variable,714000
Orion Protocol,etherscan,0x5061F7e6dfc1a867D945d0ec39Ea2A33f772380A,00:05:24,Reentrancy,
Xcarnival,etherscan,0xf70F691D30ce23786cfb3a1522CFD76D159AcA8d,00:05:33,Infinite Number of Loans,3870000
Swapos V2,etherscan,0x2df07C054138Bf29348F35a12a22550230BD1405,00:05:48,error k value Attack,468000
EGD Finance,bscscan,0xc30808d9373093fbfcec9e026457c6a9dab706a7,00:05:54,Flashloans & Price Manipulation,36044
AnnexFinance,bscscan,0xb08efc0933a4552d4294c729fed5176c5e3e63fd,00:06:06,Verify flashLoan Callback,3000
VISOR FINANCE,etherscan,0x10C509AA9ab291C76c45414e7CdBd375e1D5AcE8,0:06:11,Reentrancy,8200000
MONOX,polygonscan,0x119914De3AE03256fd58B66Cd6b8c6A12c70Cfb2,00:06:28,Price Manipulation,
OmniEstate,bscscan,0xdd87d807774c8aa9d70fc6af5912c97fadbf531b,00:06:57,No Input Parameter Check,70000
FEI RARI,etherscan,0x32075bAd9050d4767018084F0Cb87b3182D36C45,00:07:11,Flashloan Attack + Reentrancy,
FireBirdPair,polygonscan,0x22B1A115B16395E5ebD50F4f82AeF3a159e1C6d1,00:07:14,Lack Slippage Protection,2240
NewFreeDAO,bscscan,0xa35ef9fa2f5e0527cb9fbb6f9d3a24cfed948863,00:07:21,Flashloans Attack,1000000
GPT Token,bscscan,0x2a9ab219d4f82fbd9f522974bd82fe92c376f376,00:08:36,Fee Machenism Exploitation,42000
Uerii Token,etherscan,0xFD4DcCD754EAaA8C9196998c5Bb06A56dF6a1D95,0:09:12,Access Control,2400
AUR,bscscan,0x3d743b2f760a431cc20047cb5c7758c9a8860d6b,0:09:45,Access control,13000
DODO,etherscan,0x910FD17B9Bfc42A6eEA822912f036EF5a080Be8A,00:10:40,Flashloan Attack,700000
SellToken02,bscscan,0x19Ed7Cd5F1d2bD02713131344d6890454D7C599F,00:11:02,Price Manipulation,197000
DFXFinance,etherscan,0x6cFa86a352339E766FF1cA119c8C40824f41F22D,00:11:24,Flashloan,4000000
N00d Token,etherscan,0x9C5A2A6431523fBBC648fb83137A20A2C1789C56,00:11:36,Flashloan + Reentrancy,29000
BGLD,etherscan,0x56b2b04e5cea5274fc5f79d648ea7da739a50b41,00:12:58,FlashLoan price manipulation,18000
Cream Finance,etherscan,0xbd51Cb8c06F768d3225b613B79B1386F4c83D1FA,00:13:14,Flashloan Attack + Reentrancy,
DYNA,bscscan,0xd360b416ce273ab2358419b1015acf476a3b30d9,00:13:34,Business Logic Flaw,21000
LFI Token,polygonscan,0x43623b96936e854f8d85f893011f22ac91e58164,00:14:28,Business Logic Flaw,36000
Lendf.Me,etherscan,0x538359785a8D5AB1A741A0bA94f26a800759D91D,00:14:51,reentrancy,25000000
AKROPOLIS,etherscan,0xe2307837524Db8961C4541f943598654240bd62f,00:16:18,reentrancy & malicious token,2000000
BONQDAO,polygonscan,0xED596991ac5F1Aa1858Da66c67f7CFA76e54B5f1,00:18:02,Price Oracle Manipulation,88000000
GDS,bscscan,0x0b995c08abddc0442bee87d3a7c96b227f8e7268,00:18:51,Business Logic Flaw,180000
GDS,bscscan,0x16059b0b6842b33c088b3246e5b7afddd9dffb4b,00:18:51,,
TEMPLEDAO,etherscan,0x2Df9c154fe24D081cfE568645Fb4075d725431e0,0:19:36,Insufficient access control,2300000
BabyDogeCoin2,bscscan,0x51873a0b615a51115f2cfbc2e24d9db4bfa2e6e2,0:19:49,Lack Slippage Protection,264600
BNO,bscscan,0xd138b9a58d3e5f4be1cd5ec90b66310e241c13cd,00:19:54,Invalid emergency withdraw mechanism,505000
